127.0.0.1, 2019-05-09 00:35:29, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-09 00:35:29, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-09 00:35:29, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-09 00:35:29, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-09 00:35:29, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-09 00:35:29, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2019-05-09 00:35:33, GET, /admin/default/site, HTTP/1.1, 200, 0.140000
127.0.0.1, 2019-05-09 00:35:35, GET, /start/default/index, HTTP/1.1, 200, 0.414000
127.0.0.1, 2019-05-09 00:35:35, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-09 00:35:35, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-09 00:35:35, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-09 00:35:35, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-09 00:35:35, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-09 00:35:35, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.020000
127.0.0.1, 2019-05-09 00:35:35, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.023000
127.0.0.1, 2019-05-09 00:35:35, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.027000
127.0.0.1, 2019-05-09 00:35:35, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.032000
127.0.0.1, 2019-05-09 00:35:35, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.058000
127.0.0.1, 2019-05-09 00:35:35, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.007000
127.0.0.1, 2019-05-09 00:49:07, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2019-05-09 00:49:07, GET, /welcome/default/index, HTTP/1.1, 200, 0.136000
127.0.0.1, 2019-05-09 00:49:07, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2019-05-09 00:49:07, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2019-05-09 00:49:07, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-09 00:49:07, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-09 00:49:07, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-09 00:49:07, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-09 00:49:07, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-09 00:49:07, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-09 00:49:07, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-09 00:49:07, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2019-05-09 00:49:13, GET, /admin/default/site, HTTP/1.1, 200, 0.131000
127.0.0.1, 2019-05-09 00:49:13, GET, /admin/static/_2.18.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-05-09 00:49:17, GET, /web2py_start/default/index, HTTP/1.1, 500, 0.436000
127.0.0.1, 2019-05-09 00:50:31, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2019-05-09 00:50:31, GET, /welcome/default/index, HTTP/1.1, 200, 0.119000
127.0.0.1, 2019-05-09 00:50:32, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2019-05-09 00:50:35, GET, /admin/default/site, HTTP/1.1, 200, 0.170000
127.0.0.1, 2019-05-09 00:50:37, GET, /web2py_start/default/index, HTTP/1.1, 500, 0.093000
127.0.0.1, 2019-05-09 00:51:52, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2019-05-09 00:51:52, GET, /welcome/default/index, HTTP/1.1, 200, 0.026000
127.0.0.1, 2019-05-09 00:51:52, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-09 00:51:52, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-09 00:51:52, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2019-05-09 00:51:52, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2019-05-09 00:51:52, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-09 00:51:52, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-09 00:51:52, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2019-05-09 00:51:52, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2019-05-09 00:51:52, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-09 00:51:52, GET, /welcome/default/index, HTTP/1.1, 200, 0.023000
127.0.0.1, 2019-05-09 00:51:53, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2019-05-09 00:51:56, GET, /admin/default/site, HTTP/1.1, 200, 0.027000
127.0.0.1, 2019-05-09 00:51:58, GET, /start/default/index, HTTP/1.1, 200, 0.066000
127.0.0.1, 2019-05-09 00:51:59, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-09 00:51:59, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-09 00:51:59, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-09 00:51:59, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-09 00:51:59, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-09 00:51:59, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-09 00:51:59, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-09 00:51:59, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-09 00:51:59, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-09 00:51:59, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-09 00:51:59, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-09 00:51:59, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-09 00:52:01, GET, /admin/default/site, HTTP/1.1, 200, 0.030000
127.0.0.1, 2019-05-09 00:52:03, GET, /hw3_p3/default/index, HTTP/1.1, 500, 0.211000
127.0.0.1, 2019-05-09 00:52:10, GET, /admin/default/site, HTTP/1.1, 200, 0.034000
127.0.0.1, 2019-05-09 00:52:24, GET, /admin/default/site, HTTP/1.1, 200, 0.040000
127.0.0.1, 2019-05-09 00:52:31, GET, /hw3_p3/default/index, HTTP/1.1, 500, 5.038000
127.0.0.1, 2019-05-09 00:52:48, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2019-05-09 00:52:48, GET, /welcome/default/index, HTTP/1.1, 200, 0.120000
127.0.0.1, 2019-05-09 00:52:48, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2019-05-09 00:52:53, GET, /admin/default/site, HTTP/1.1, 200, 0.156000
127.0.0.1, 2019-05-09 00:52:55, GET, /hw3_p3/default/index, HTTP/1.1, 303, 0.299000
127.0.0.1, 2019-05-09 00:52:55, GET, /hw3_p3/default/store, HTTP/1.1, 200, 0.044000
127.0.0.1, 2019-05-09 00:52:55, GET, /hw3_p3/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-09 00:52:55, GET, /hw3_p3/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-09 00:52:55, GET, /hw3_p3/static/css/custom.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-09 00:52:55, GET, /hw3_p3/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-09 00:52:55, GET, /hw3_p3/static/css/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-09 00:52:55, GET, /hw3_p3/static/css/myapp.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-09 00:52:55, GET, /hw3_p3/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-05-09 00:52:55, GET, /hw3_p3/static/js/marked.min.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2019-05-09 00:52:55, GET, /hw3_p3/static/js/web2py.js, HTTP/1.1, 200, 0.021000
127.0.0.1, 2019-05-09 00:52:55, GET, /hw3_p3/static/js/calendar.js, HTTP/1.1, 200, 0.028000
127.0.0.1, 2019-05-09 00:52:55, GET, /hw3_p3/static/js/vue.min.js, HTTP/1.1, 200, 0.034000
127.0.0.1, 2019-05-09 00:52:55, GET, /hw3_p3/static/js/jquery.js, HTTP/1.1, 200, 0.044000
127.0.0.1, 2019-05-09 00:53:16, GET, /hw3_p3/default/index, HTTP/1.1, 303, 0.017000
127.0.0.1, 2019-05-09 00:53:16, GET, /hw3_p3/default/store, HTTP/1.1, 200, 0.022000
127.0.0.1, 2019-05-09 00:53:18, GET, /hw3_p3/default/order_list, HTTP/1.1, 200, 0.065000
127.0.0.1, 2019-05-09 00:53:18, GET, /hw3_p3/static/css/movies.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-07-02 15:15:11, GET, /, HTTP/1.1, 303, 0.007000
127.0.0.1, 2019-07-02 15:15:12, GET, /welcome/default/index, HTTP/1.1, 200, 0.460000
127.0.0.1, 2019-07-02 15:15:12, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.010000
127.0.0.1, 2019-07-02 15:15:12, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.021000
127.0.0.1, 2019-07-02 15:15:12, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.021000
127.0.0.1, 2019-07-02 15:15:12, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-07-02 15:15:12, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.034000
127.0.0.1, 2019-07-02 15:15:12, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.032000
127.0.0.1, 2019-07-02 15:15:12, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.054000
127.0.0.1, 2019-07-02 15:15:12, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.049000
127.0.0.1, 2019-07-02 15:15:12, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.079000
127.0.0.1, 2019-07-02 15:15:12, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2019-07-02 15:15:12, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.004000
127.0.0.1, 2019-07-02 15:16:23, GET, /admin/default/site, HTTP/1.1, 303, 0.267000
127.0.0.1, 2019-07-02 15:16:24, GET, /admin/default/index, HTTP/1.1, 200, 0.078000
127.0.0.1, 2019-07-02 15:16:24, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.010000
127.0.0.1, 2019-07-02 15:16:24, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2019-07-02 15:16:24, GET, /admin/static/_2.18.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.019000
127.0.0.1, 2019-07-02 15:16:24, GET, /admin/static/_2.18.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.012000
127.0.0.1, 2019-07-02 15:16:24, GET, /admin/static/_2.18.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2019-07-02 15:16:24, GET, /admin/static/_2.18.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2019-07-02 15:16:24, GET, /admin/static/_2.18.5/js/web2py.js, HTTP/1.1, 200, 0.045000
127.0.0.1, 2019-07-02 15:16:24, GET, /admin/static/_2.18.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2019-07-02 15:16:24, GET, /admin/static/_2.18.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2019-07-02 15:16:24, GET, /admin/static/_2.18.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.014000
127.0.0.1, 2019-07-02 15:16:24, GET, /admin/static/_2.18.5/js/calendar.js, HTTP/1.1, 200, 0.058000
127.0.0.1, 2019-07-02 15:16:24, GET, /admin/static/_2.18.5/images/questions.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-07-02 15:16:24, GET, /admin/static/_2.18.5/js/bootstrap.min.js, HTTP/1.1, 200, 0.023000
127.0.0.1, 2019-07-02 15:16:24, GET, /admin/static/_2.18.5/js/jquery.js, HTTP/1.1, 200, 0.093000
127.0.0.1, 2019-07-02 15:16:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-07-02 15:16:26, POST, /admin/default/index, HTTP/1.1, 303, 0.025000
127.0.0.1, 2019-07-02 15:16:26, GET, /admin/default/site, HTTP/1.1, 200, 0.051000
127.0.0.1, 2019-07-02 15:16:26, GET, /admin/static/_2.18.5/images/folder_locked.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2019-07-02 15:16:26, GET, /admin/static/_2.18.5/images/folder.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-07-02 15:16:26, GET, /admin/static/_2.18.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-07-02 15:16:26, POST, /admin/default/check_version, HTTP/1.1, 200, 0.449000
127.0.0.1, 2019-07-02 15:16:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-07-02 15:16:28, GET, /hw2/default/index, HTTP/1.1, 500, 0.267000
127.0.0.1, 2019-07-02 15:16:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-07-02 15:17:14, GET, /, HTTP/1.1, 303, 0.006000
127.0.0.1, 2019-07-02 15:17:14, GET, /welcome/default/index, HTTP/1.1, 200, 0.123000
127.0.0.1, 2019-07-02 15:17:14, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2019-07-02 15:17:16, GET, /admin/default/site, HTTP/1.1, 200, 0.140000
127.0.0.1, 2019-07-02 15:17:17, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-07-02 15:17:18, GET, /hw2/default/index, HTTP/1.1, 303, 0.239000
127.0.0.1, 2019-07-02 15:17:18, GET, /hw2/default/home, HTTP/1.1, 200, 0.022000
127.0.0.1, 2019-07-02 15:17:18, GET, /hw2/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2019-07-02 15:17:18, GET, /hw2/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2019-07-02 15:17:18, GET, /hw2/static/css/calendar.css, HTTP/1.1, 200, 0.013000
127.0.0.1, 2019-07-02 15:17:18, GET, /static/css/custom.css/bootstrap.min.css, HTTP/1.1, 404, 0.001000
127.0.0.1, 2019-07-02 15:17:18, GET, /hw2/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.035000
127.0.0.1, 2019-07-02 15:17:18, GET, /hw2/static/css/uco.css, HTTP/1.1, 200, 0.019000
127.0.0.1, 2019-07-02 15:17:18, GET, /hw2/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-07-02 15:17:18, GET, /hw2/static/js/calendar.js, HTTP/1.1, 200, 0.054000
127.0.0.1, 2019-07-02 15:17:18, GET, /hw2/static/js/web2py.js, HTTP/1.1, 200, 0.036000
127.0.0.1, 2019-07-02 15:17:18, GET, /hw2/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.049000
127.0.0.1, 2019-07-02 15:17:18, GET, /hw2/static/js/jquery.js, HTTP/1.1, 200, 0.082000
127.0.0.1, 2019-07-02 15:17:18, GET, /static/css/custom.css/bootstrap.min.css, HTTP/1.1, 404, 0.001000
127.0.0.1, 2019-07-02 15:17:18, GET, /hw2/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
